ID,maths_skills,stroop_condition,stroop_time
172,Average,control,5.3
172,Average,compatible,3.8
172,Average,incompatible,4.6
173,Average,control,3.9
173,Average,compatible,3.5
173,Average,incompatible,7.1
174,Average,control,6.3
174,Average,compatible,2.5
174,Average,incompatible,7.7
175,Well above average,control,4.5
175,Well above average,compatible,4
175,Well above average,incompatible,6.1
176,Average,control,5.8
176,Average,compatible,6
176,Average,incompatible,6.1
177,Average,control,3.6
177,Average,compatible,4.3
177,Average,incompatible,5.4
178,Average,control,6.9
178,Average,compatible,7.4
178,Average,incompatible,12.3
179,Average,control,6.7
179,Average,compatible,4.4
179,Average,incompatible,6.8
180,Average,control,5.03
180,Average,compatible,3.64
180,Average,incompatible,7.99
181,A little below average,control,8.1
181,A little below average,compatible,5.7
181,A little below average,incompatible,8.9
182,A little below average,control,5.7
182,A little below average,compatible,4.5
182,A little below average,incompatible,5.6
183,A little below average,control,5.7
183,A little below average,compatible,3.4
183,A little below average,incompatible,12
184,Well below average,control,5.8999999999999995
184,Well below average,compatible,5.38
184,Well below average,incompatible,7.42
185,Average,control,4.7
185,Average,compatible,3.7
185,Average,incompatible,6.4
186,A little below average,control,11.03
186,A little below average,compatible,6.58
186,A little below average,incompatible,12.68
187,A little below average,control,5.5
187,A little below average,compatible,4.8
187,A little below average,incompatible,7
188,Well below average,control,9
188,Well below average,compatible,5.6
188,Well below average,incompatible,7.7
189,Average,control,3.04
189,Average,compatible,2.71
189,Average,incompatible,6.73
190,Average,control,5.5
190,Average,compatible,4.7
190,Average,incompatible,6.8
191,A little below average,control,3.8
191,A little below average,compatible,6.9
191,A little below average,incompatible,6.3
192,A little below average,control,8.2
192,A little below average,compatible,5.6
192,A little below average,incompatible,11.5
193,A little above the average,control,2.9
193,A little above the average,compatible,3.2
193,A little above the average,incompatible,4.5
194,A little below average,control,3.5
194,A little below average,compatible,5.4
194,A little below average,incompatible,6.5
195,A little above the average,control,10.2
195,A little above the average,compatible,4.6
195,A little above the average,incompatible,9.3
196,A little below average,control,12.78
196,A little below average,compatible,5.949999999999999
196,A little below average,incompatible,13.02
197,Average,control,5.08
197,Average,compatible,4.86
197,Average,incompatible,7.14
198,A little below average,control,10.2
198,A little below average,compatible,3.9999999999999996
198,A little below average,incompatible,13.65
199,A little below average,control,4.7
199,A little below average,compatible,3.5
199,A little below average,incompatible,7.7
200,Average,control,6.2
200,Average,compatible,3.6999999999999997
200,Average,incompatible,5.3
201,A little above the average,control,6.2
201,A little above the average,compatible,3.3
201,A little above the average,incompatible,6.5
203,A little below average,control,4.5
203,A little below average,compatible,2.6
203,A little below average,incompatible,6
204,Average,control,4.8
204,Average,compatible,5.5
204,Average,incompatible,6.5
205,Well below average,control,3
205,Well below average,compatible,4.4
205,Well below average,incompatible,8.4
